Song Name,Artist Names,Artist Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
City Lounge,Saib,"['chillhop', 'japanese chillhop', 'lo-fi beats']",0.807,0.5760000000000001,4,-10.158,0,0.29600000000000004,0.0419,0.931,0.116,0.7709999999999999,169.99900000000005,158118,4
Sweet Dávila,Demouche,[],0.873,0.417,6,-8.771,1,0.0427,0.203,0.0616,0.696,0.841,92.955,235696,4
Do the Right Thing,Shuko,['chillhop'],0.815,0.738,5,-7.4689999999999985,1,0.0453,0.213,0.8640000000000001,0.29,0.633,91.024,121320,4
A Jazz Club in Paris,Clément Matrat,['focus beats'],0.7509999999999999,0.173,10,-13.138,0,0.0402,0.349,0.6779999999999999,0.0684,0.354,80.02,90492,3
The Match,Bonus Points,"['chillhop', 'jazz boom bap']",0.746,0.735,6,-8.026,1,0.0324,0.00675,0.103,0.187,0.59,94.772,144328,4
Chillin',twuan,"['chillhop', 'lo-fi beats']",0.642,0.197,4,-14.052,0,0.054000000000000006,0.435,0.823,0.111,0.248,152.039,77241,4
Lazy Café,leaf beach,"['chillhop', 'jazz boom bap', 'lo-fi beats']",0.6659999999999999,0.15,4,-11.735,0,0.0628,0.185,0.8440000000000001,0.0831,0.247,87.05,145093,4
Magic Bay,Dario Lessing,[],0.752,0.305,1,-13.819,0,0.0865,0.449,0.908,0.124,0.447,79.973,171267,4
Absence,Jinsang,"['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']",0.7440000000000001,0.448,1,-9.514,0,0.0763,0.409,0.846,0.113,0.499,90.712,79915,4
Focus,Phlocalyst,"['chillhop', 'lo-fi beats']",0.428,0.15,3,-20.066,1,0.0375,0.72,0.932,0.109,0.0647,79.991,132000,4
Exploration,Saï T,[],0.601,0.205,1,-10.409,1,0.0797,0.648,0.8590000000000001,0.115,0.0946,89.488,150168,4
Taidana,lōland,['lo-fi beats'],0.721,0.326,0,-9.639,1,0.154,0.655,0.879,0.112,0.339,79.493,170992,1
Fiesta,frad,['lo-fi beats'],0.685,0.32299999999999995,9,-16.922,0,0.377,0.914,0.85,0.103,0.461,75.06,89600,4
Tokyo Lounge,Karmawin,"['chillhop', 'jazz boom bap']",0.597,0.6509999999999999,4,-10.333,0,0.0691,0.056,0.6970000000000001,0.112,0.0487,83.00299999999999,230779,4
Rawtuffelpuree,khaderbai,[],0.722,0.314,7,-14.832,0,0.453,0.345,0.294,0.221,0.268,168.05900000000003,154701,4
Se Cure,Mr Mantega,[],0.825,0.378,1,-12.59,1,0.0489,0.16899999999999998,0.907,0.0656,0.316,157.915,146477,3
Mindfulness,Tohaj,[],0.638,0.38,2,-9.16,0,0.0405,0.74,0.797,0.0984,0.311,79.209,169625,4
Outside,SoulChef,"['ambeat', 'chillhop']",0.782,0.565,10,-10.321,0,0.14800000000000002,0.0835,0.8540000000000001,0.142,0.6940000000000001,93.009,120053,4
Gon Be Alright,twuan,"['chillhop', 'lo-fi beats']",0.7070000000000001,0.276,9,-9.037,1,0.0778,0.00155,0.813,0.6779999999999999,0.637,82.029,93510,4
Sakura Trees,Saib,"['chillhop', 'japanese chillhop', 'lo-fi beats']",0.643,0.56,0,-7.295,1,0.0354,0.204,0.197,0.0908,0.521,79.986,99997,4
Clarity,Laffey,['lo-fi beats'],0.41,0.332,6,-12.607,0,0.248,0.943,0.946,0.101,0.145,119.278,139839,4
Soul,Beaumont,[],0.669,0.371,2,-16.347,0,0.059,0.34700000000000003,0.499,0.113,0.795,82.991,121709,4
4 U,Zmeyev,['chillhop'],0.58,0.436,5,-12.085,0,0.34600000000000003,0.76,0.706,0.134,0.38,83.494,137292,4
"Salute, Let's Progress",kofta,[],0.7240000000000001,0.334,4,-14.324000000000002,0,0.0344,0.917,0.528,0.117,0.506,75.01899999999998,107200,3
Mirror Universe,Kupla,['lo-fi beats'],0.6459999999999999,0.514,6,-7.273,0,0.0753,0.181,0.8490000000000001,0.12,0.687,75.07600000000002,156049,4
Edith,paris91,[],0.5539999999999999,0.368,10,-9.96,0,0.051,0.308,0.775,0.128,0.289,79.986,136123,4
